出表日期,公司代號,公司名稱,董事長,總經理,董事長是否兼任總經理,date
1150517,2404,漢唐,李惠文,賴志明,未兼任,2026-05-18
1150517,2405,輔信,余麗娜,鄭瑋勳,未兼任,2026-05-18
1150517,2406,國碩,陳繼明,鍾高原,未兼任,2026-05-18
1150517,2408,南亞科,鄒明仁,李培瑛,未兼任,2026-05-18
1150517,2409,友達,彭又又浪,柯富仁,未兼任,2026-05-18
1150517,2412,中華電,簡志誠,林榮賜,未兼任,2026-05-18
1150517,2413,環科,歐仁傑,歐仁傑,兼任,2026-05-18
1150517,2414,精技,葉佳紋,李盈芳,未兼任,2026-05-18
1150517,2415,錩新,丁廣欽,蕭伊宏,未兼任,2026-05-18
1150517,2417,圓剛,郭重松,郭重松,兼任,2026-05-18
1150517,2419,仲琦,黃文芳,周暘智,未兼任,2026-05-18
1150517,2420,新巨,高銘傳,鄭秋怡,未兼任,2026-05-18
1150517,2421,建準,洪慶昇,洪慶昇,兼任,2026-05-18
1150517,2423,固緯,林錦章,張朝明,未兼任,2026-05-18
1150517,2424,隴華,王雅萱,王雅萱,兼任,2026-05-18
1150517,2425,承啟,高樹榮,高樹榮,兼任,2026-05-18
1150517,2426,鼎元,蘇&#23791;正,李榮寰,未兼任,2026-05-18
1150517,2427,三商電,陳翔中,陳翔中,兼任,2026-05-18
1150517,2428,興勤,隋台中,隋台中,兼任,2026-05-18
1150517,2429,銘旺科,周維昆,潘進興,未兼任,2026-05-18
1150517,2430,燦坤,林技典,NA,未兼任,2026-05-18
1150517,2431,聯昌,陳恆偉,林春連,未兼任,2026-05-18
1150517,2432,倚天酷碁-創,高樹國,鍾逸鈞,未兼任,2026-05-18
1150517,2433,互盛電,廖慶章,陳國盈,未兼任,2026-05-18
1150517,2434,統懋,翁淑貞,唐永渝,未兼任,2026-05-18
1150517,2436,偉詮電,林錫銘,林登信,未兼任,2026-05-18
1150517,2438,翔耀,林以山,高玉強,未兼任,2026-05-18
1150517,2439,美律,廖祿立,黃朝豊,未兼任,2026-05-18
1150517,2440,太空梭,王玄輝,王建成,未兼任,2026-05-18
1150517,2441,超豐,謝永達,紀有章,未兼任,2026-05-18
1150517,2442,新美齊,林傳捷,紀榮村,未兼任,2026-05-18
1150517,2444,兆勁,紀政孝,紀政孝,兼任,2026-05-18
1150517,2449,京元電子,李金恭,張高薰,未兼任,2026-05-18
1150517,2450,神腦,余政憲,林保雍,未兼任,2026-05-18
1150517,2451,創見,束崇萬,張宗凱,未兼任,2026-05-18
1150517,2453,凌群,劉瑞復,劉瑞隆,未兼任,2026-05-18
1150517,2454,聯發科,蔡明介,陳冠州,未兼任,2026-05-18
1150517,2455,全新,陳建良,黃朝興,未兼任,2026-05-18
1150517,2457,飛宏,林中民,林冠宏,未兼任,2026-05-18
1150517,2458,義隆,葉儀皓,葉儀皓,兼任,2026-05-18
1150517,2459,敦吉,鍾元凱,鍾元凱,兼任,2026-05-18
1150517,2460,建通,蘇敦禮,何易霖,未兼任,2026-05-18
1150517,2461,光群雷,郭維武,陳宥霖,未兼任,2026-05-18
1150517,2462,良得電,陳龍水,陳龍水,兼任,2026-05-18
1150517,2464,盟立,孫弘,林世東,未兼任,2026-05-18
1150517,2465,麗臺,盧崑山,梁傳杰,未兼任,2026-05-18
1150517,2466,冠西電,謝淑娟,黃琮善,未兼任,2026-05-18
1150517,2467,志聖,梁茂生,梁又文,未兼任,2026-05-18
1150517,2468,華經,袁興文,唐宇華、楊正寧,未兼任,2026-05-18
1150517,2471,資通,余宏揚,林青龍,未兼任,2026-05-18
1150517,2472,立隆電,吳志銘,吳志銘,兼任,2026-05-18
1150517,2474,可成,洪水樹,洪天賜,未兼任,2026-05-18
1150517,2476,鉅祥,林於晃,林映碩,未兼任,2026-05-18
1150517,2477,美隆電,吳堂誌,暫缺,未兼任,2026-05-18
1150517,2478,大毅,江財寶,江財寶,兼任,2026-05-18
1150517,2480,敦陽科,梁修宗,梁修宗,兼任,2026-05-18
1150517,2481,強茂,方敏清,方敏清,兼任,2026-05-18
1150517,2482,連宇,羅鋇,曾鈺琳,未兼任,2026-05-18
1150517,2483,百容,廖本林,廖本林,兼任,2026-05-18
1150517,2484,希華,曾穎堂,曾榮孟,未兼任,2026-05-18
1150517,2485,兆赫,黃啟瑞,林慶輝,未兼任,2026-05-18
1150517,2486,一詮,周萬順,周孟賢,未兼任,2026-05-18
1150517,2488,漢平,劉深鏗,劉深鏗,兼任,2026-05-18
1150517,2489,瑞軒,吳春發,吳旭軒,未兼任,2026-05-18
1150517,2491,吉祥全,陳碧華,羅光偉,未兼任,2026-05-18
1150517,2492,華新科,焦佑衡,曾明燦,未兼任,2026-05-18
1150517,2493,揚博,蘇勝義,蘇勝義,兼任,2026-05-18
1150517,2495,普安,羅仕東,羅仕東,兼任,2026-05-18
1150517,2496,卓越,曾淑鈴,曾淑鈴,兼任,2026-05-18
1150517,2497,怡利電,陳錫勳,陳錫勳,兼任,2026-05-18
1150517,2498,宏達電,王雪紅,王雪紅,兼任,2026-05-18
1150517,2501,國建,張清櫆,郭文鎧,未兼任,2026-05-18
1150517,2504,國產,徐蘭英,徐蘭英,兼任,2026-05-18
1150517,2505,國揚,林子&#23515;,彭邵齡,未兼任,2026-05-18
1150517,2506,太設,柳逸義,陳清暉,未兼任,2026-05-18
1150517,2509,全坤建,李勇毅,江清峰,未兼任,2026-05-18
1150517,2511,太子,羅智先,林宏俊,未兼任,2026-05-18
