出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數變動百分比,非擔任主管之全時員工薪資中位數(仟元/人) ,非擔任主管職務之全時員工薪資中位數變動百分比,管理職女性主管佔比,新進員工年齡分布,離職員工年齡分布,高齡員工晉用政策及培訓計畫,date
1150513,113,1722,台肥,1514,1305,1339,-11.56%,1187,-12.20%,17.00%,,,,2026-05-15
1150513,113,1723,中碳,1837,1606,1537,4.56%,1432,4.68%,11.36%,,,,2026-05-15
1150513,113,1725,元禎,1005,811,788,10.06%,692,11.08%,13.33%,,,,2026-05-15
1150513,113,1726,永記,969,832,810,4.11%,737,3.66%,8.00%,,,,2026-05-15
1150513,113,1727,中華化,868,724,710,16.20%,651,12.82%,12.77%,,,,2026-05-15
1150513,113,1730,花仙子,1330,1120,954,6.12%,823,0.73%,50.00%,,,,2026-05-15
1150513,113,1731,美吾華,1022,879,754,4.58%,668,8.79%,57.45%,,,,2026-05-15
1150513,113,1732,毛寶,696,589,554,5.73%,469,4.22%,43.00%,,,,2026-05-15
1150513,113,1733,五鼎,731,601,630,7.33%,522,13.73%,40.00%,,,,2026-05-15
1150513,113,1734,杏輝,854,674,643,0.47%,561,5.45%,43.30%,,,,2026-05-15
1150513,113,1735,日勝化,1087,929,880,11.68%,784,11.52%,30.38%,,,,2026-05-15
1150513,113,1736,喬山,988,842,788,9.60%,638,6.51%,20.53%,,,,2026-05-15
1150513,113,1737,臺鹽,1219,1034,1048,3.56%,954,3.25%,30.95%,,,,2026-05-15
1150513,113,1752,南光,753,632,623,7.60%,550,8.70%,30.61%,,,,2026-05-15
1150513,113,1760,寶齡富錦,998,840,785,5.80%,645,7.86%,40.30%,,,,2026-05-15
1150513,113,1762,中化生,892,717,699,-18.82%,648,-14.51%,22.22%,,,,2026-05-15
1150513,113,1773,勝一,1397,1218,1063,4.83%,946,8.74%,7.69%,,,,2026-05-15
1150513,113,1776,展宇,946,800,666,7.07%,624,25.30%,33.33%,,,,2026-05-15
1150513,113,1783,和康生,928,794,813,5.04%,670,10.38%,47.06%,,,,2026-05-15
1150513,113,1786,科妍,1181,1008,753,5.31%,685,11.20%,32.00%,,,,2026-05-15
1150513,113,1789,神隆,1083,915,885,3.75%,829,6.28%,35.05%,,,,2026-05-15
1150513,113,1795,美時,1695,1051,1103,-3.50%,815,-2.98%,40.44%,,,,2026-05-15
1150513,113,1802,台玻,778,658,682,11.26%,647,10.98%,27.90%,,,,2026-05-15
1150513,113,1805,寶徠,1591,1385,840,18.98%,780,15.56%,36.84%,,,,2026-05-15
1150513,113,1806,冠軍,766,604,648,-4.00%,588,-2.49%,21.43%,,,,2026-05-15
1150513,113,1808,潤隆,1864,1068,878,-17.71%,783,-17.32%,23.33%,,,,2026-05-15
1150513,113,1809,中釉,882,758,749,4.03%,642,3.22%,12.00%,,,,2026-05-15
1150513,113,1810,和成,719,608,598,2.40%,525,3.35%,14.67%,,,,2026-05-15
1150513,113,1817,凱撒衛,1019,826,810,7.00%,687,8.53%,20.00%,,,,2026-05-15
1150513,113,1903,士紙,845,700,600,7.14%,576,8.47%,23.91%,,,,2026-05-15
1150513,113,1904,正隆,1006,862,845,0.12%,793,0.89%,28.22%,,,,2026-05-15
1150513,113,1905,華紙,948,794,743,2.20%,691,2.67%,12.02%,,,,2026-05-15
1150513,113,1906,寶隆,1644,1361,742,1.09%,820,1.86%,6.70%,,,,2026-05-15
1150513,113,1907,永豐餘,2452,2343,785,1.29%,703,1.74%,20.55%,,,,2026-05-15
1150513,113,1909,榮成,960,819,774,3.06%,740,2.64%,1.86%,,,,2026-05-15
1150513,113,2002,中鋼,1600,1349,1288,3.87%,1215,5.10%,1.75%,,,,2026-05-15
1150513,113,2006,東和鋼鐵,1261,1108,1104,-2.82%,1041,-2.98%,11.32%,,,,2026-05-15
1150513,113,2007,燁興,876,625,682,9.12%,657,11.73%,5.00%,,,,2026-05-15
1150513,113,2008,高興昌,688,564,581,5.64%,507,5.63%,8.33%,,,,2026-05-15
1150513,113,2009,第一銅,798,661,672,22.63%,658,25.57%,3.85%,,,,2026-05-15
1150513,113,2010,春源,862,691,761,6.14%,654,4.98%,1.74%,,,,2026-05-15
1150513,113,2012,春雨,758,647,648,-2.41%,569,5.76%,41.67%,,,,2026-05-15
1150513,113,2013,中鋼構,2040,1788,1754,4.47%,1578,5.06%,3.70%,,,,2026-05-15
1150513,113,2014,中鴻,1108,847,829,-0.12%,794,-0.25%,4.46%,,,,2026-05-15
1150513,113,2015,豐興,1262,1069,1037,2.17%,954,2.80%,22.22%,,,,2026-05-15
1150513,113,2017,官田鋼,670,545,567,12.06%,496,12.73%,37.50%,,,,2026-05-15
1150513,113,2020,美亞,1028,706,812,-0.85%,694,0.00%,6.40%,,,,2026-05-15
1150513,113,2022,聚亨,776,658,606,6.50%,567,8.62%,14.04%,,,,2026-05-15
1150513,113,2023,燁輝,1122,854,873,0.81%,852,1.19%,3.50%,,,,2026-05-15
1150513,113,2024,志聯,707,564,571,10.02%,528,9.77%,16.67%,,,,2026-05-15
1150513,113,2025,千興,707,576,581,2.29%,570,3.83%,40.00%,,,,2026-05-15
1150513,113,2027,大成鋼,866,749,737,53.54%,639,39.52%,25.10%,,,,2026-05-15
1150513,113,2028,威致,985,725,807,2.93%,768,4.21%,23.53%,,,,2026-05-15
1150513,113,2029,盛餘,1281,1054,1116,-2.11%,1034,-1.52%,9.38%,,,,2026-05-15
1150513,113,2030,彰源,855,729,687,4.89%,608,4.65%,0.04%,,,,2026-05-15
1150513,113,2031,新光鋼,1025,807,779,-3.47%,657,-6.54%,31.48%,,,,2026-05-15
1150513,113,2032,新鋼,695,548,550,5.77%,526,6.48%,10.00%,,,,2026-05-15
1150513,113,2033,佳大,748,579,549,5.17%,538,8.47%,0.97%,,,,2026-05-15
1150513,113,2034,允強,894,720,684,13.06%,638,14.13%,21.00%,,,,2026-05-15
1150513,113,2038,海光,809,694,667,7.23%,604,5.23%,0.80%,,,,2026-05-15
1150513,113,2049,上銀,890,743,841,5.39%,792,4.21%,14.60%,,,,2026-05-15
1150513,113,2059,川湖,1172,1040,1014,51.57%,729,46.39%,19.75%,,,,2026-05-15
1150513,113,2062,橋椿,711,591,558,1.09%,501,5.03%,48.06%,,,,2026-05-15
1150513,113,2069,運錩,771,619,617,15.98%,550,16.28%,49.20%,,,,2026-05-15
1150513,113,2101,南港,965,843,813,11.83%,719,12.52%,13.46%,,,,2026-05-15
1150513,113,2102,泰豐,952,763,673,-5.34%,675,2.74%,0.00%,,,,2026-05-15
1150513,113,2103,台橡,1565,1223,1184,2.25%,1061,1.82%,26.42%,,,,2026-05-15
1150513,113,2104,國際中橡,1602,1342,1053,-1.59%,909,-2.78%,15.33%,,,,2026-05-15
1150513,113,2105,正新,860,736,734,4.41%,696,4.82%,2.54%,,,,2026-05-15
1150513,113,2106,建大,820,710,623,6.50%,587,8.10%,14.22%,,,,2026-05-15
1150513,113,2107,厚生,952,842,657,-0.90%,603,-0.33%,13.04%,,,,2026-05-15
1150513,113,2108,南帝,1279,1108,1090,-2.24%,1009,-4.63%,,,,,2026-05-15
1150513,113,2109,華豐,760,655,611,7.19%,548,10.04%,5.00%,,,,2026-05-15
1150513,113,2114,鑫永銓,869,748,578,-0.34%,554,0.00%,30.00%,,,,2026-05-15
1150513,113,2115,六暉-KY,N/A,N/A,N/A,,N/A,,29.80%,,,,2026-05-15
1150513,113,2201,裕隆,1090,892,910,1.34%,853,0.71%,7.06%,,,,2026-05-15
1150513,113,2204,中華,1175,1018,1044,-13.50%,967,-10.05%,15.70%,,,,2026-05-15
1150513,113,2206,三陽工業,1291,1096,1149,-2.38%,1085,-3.30%,10.07%,,,,2026-05-15
1150513,113,2207,和泰車,3459,3031,2677,1.79%,2103,5.63%,26.05%,,,,2026-05-15
1150513,113,2208,台船,1146,978,957,0.10%,900,-0.77%,12.07%,,,,2026-05-15
1150513,113,2211,長榮鋼,1228,1035,1051,-3.22%,1021,-2.20%,20.69%,,,,2026-05-15
1150513,113,2227,裕日車,1598,1350,1213,0.66%,1164,1.93%,16.00%,,,,2026-05-15
1150513,113,2228,劍麟,887,719,680,6.08%,572,5.93%,17.78%,,,,2026-05-15
1150513,113,2231,為升,855,741,664,3.27%,567,3.28%,23.33%,,,,2026-05-15
1150513,113,2233,宇隆,1000,867,770,22.03%,626,19.92%,41.37%,,,,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,N/A,,N/A,,0.00%,,,,2026-05-15
1150513,113,2239,英利-KY,N/A,N/A,N/A,,N/A,,32.58%,,,,2026-05-15
1150513,113,2241,艾姆勒,954,788,757,2.44%,687,1.78%,18.00%,,,,2026-05-15
1150513,113,2243,宏旭-KY,N/A,N/A,N/A,,N/A,,4.44%,,,,2026-05-15
1150513,113,2247,汎德永業,1318,1115,1213,8.59%,916,7.89%,36.65%,,,,2026-05-15
1150513,113,2248,華勝-KY,N/A,N/A,N/A,,N/A,,52.61%,,,,2026-05-15
1150513,113,2250,IKKA-KY,N/A,N/A,N/A,,N/A,,33.00%,,,,2026-05-15
1150513,113,2254,巨鎧精密-創,764,627,524,12.21%,484,13.62%,26.67%,,,,2026-05-15
1150513,113,2258,鴻華先進-創,1562,1399,1364,5.41%,1148,6.00%,0.40%,,,,2026-05-15
1150513,113,2301,光寶科,1332,1152,1489,5.30%,1246,10.27%,26.73%,,,,2026-05-15
1150513,113,2302,麗正,806,681,663,-9.55%,534,-4.13%,10.64%,,,,2026-05-15
1150513,113,2303,聯電,2265,2046,1800,-2.76%,1611,2.16%,23.50%,,,,2026-05-15
1150513,113,2305,全友,1154,983,840,4.09%,802,1.52%,18.75%,,,,2026-05-15
1150513,113,2308,台達電,1958,1717,1827,5.36%,1543,5.25%,32.20%,,,,2026-05-15
1150513,113,2312,金寶,2091,1690,1680,14.36%,1396,12.94%,32.74%,,,,2026-05-15
1150513,113,2313,華通,1100,916,979,7.35%,883,8.48%,4.50%,,,,2026-05-15
1150513,113,2314,台揚,999,836,908,6.82%,815,28.35%,36.45%,,,,2026-05-15
1150513,113,2316,楠梓電,641,502,551,11.31%,508,12.89%,36.00%,,,,2026-05-15
1150513,113,2317,鴻海,2930,2496,2670,6.08%,1937,9.31%,33.35%,,,,2026-05-15
