出表日期,報告年度,公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,火災件數(件),火災死傷人數(人),火災死傷人數占員工總人數比率,date
1150513,113,2241,艾姆勒,0,0.00%,0,0,0,2026-05-15
1150513,113,2243,宏旭-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,2247,汎德永業,3,0.18%,0,0,0,2026-05-15
1150513,113,2248,華勝-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,2250,IKKA-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,2254,巨鎧精密-創,0,0.00%,0,0,0,2026-05-15
1150513,113,2258,鴻華先進-創,12,1.30%,0,0,0,2026-05-15
1150513,113,2301,光寶科,45,0.14%,3,0,0.00%,2026-05-15
1150513,113,2302,麗正,0,0.00%,0,0,0,2026-05-15
1150513,113,2303,聯電,7,0.04%,0,0,0,2026-05-15
1150513,113,2305,全友,0,0.00%,0,0,0,2026-05-15
1150513,113,2308,台達電,10,0.08%,0,0,0,2026-05-15
1150513,113,2312,金寶,45,0.25%,0,0,0,2026-05-15
1150513,113,2313,華通,66,0.30%,0,0,0,2026-05-15
1150513,113,2314,台揚,0,0.00%,0,0,0,2026-05-15
1150513,113,2316,楠梓電,5,0.43%,0,0,0,2026-05-15
1150513,113,2317,鴻海,0,0.00%,0,0,0.00%,2026-05-15
1150513,113,2321,東訊,3,1.97%,0,0,0,2026-05-15
1150513,113,2323,中環,10,1.80%,0,0,0,2026-05-15
1150513,113,2324,仁寶,33,0.09%,0,0,0,2026-05-15
1150513,113,2327,國巨,24,0.21%,0,0,0,2026-05-15
1150513,113,2328,廣宇,0,0.00%,0,0,0,2026-05-15
1150513,113,2329,華泰,12,1.16%,0,0,0,2026-05-15
1150513,113,2330,台積電,37,0.05%,0,0,0,2026-05-15
1150513,113,2331,精英,4,0.72%,0,0,0,2026-05-15
1150513,113,2332,友訊,0,0.00%,0,0,0,2026-05-15
1150513,113,2337,旺宏,3,0.07%,0,0,0,2026-05-15
1150513,113,2338,光罩,1,0.20%,0,0,0,2026-05-15
1150513,113,2340,台亞,1,0.12%,0,0,0,2026-05-15
1150513,113,2342,茂矽,4,0.67%,0,0,0,2026-05-15
1150513,113,2344,華邦電,9,0.11%,0,0,0,2026-05-15
1150513,113,2345,智邦,10,0.25%,0,0,0,2026-05-15
1150513,113,2347,聯強,17,1.70%,0,0,0,2026-05-15
1150513,113,2348,海悅,0,0.00%,0,0,0,2026-05-15
1150513,113,2349,錸德,0,0.00%,0,0,0,2026-05-15
1150513,113,2351,順德,7,0.50%,0,0,0,2026-05-15
1150513,113,2352,佳世達,2,0.10%,0,0,0,2026-05-15
1150513,113,2353,宏碁,28,0.30%,0,0,0,2026-05-15
1150513,113,2354,鴻準,2,0.03%,0,0,0,2026-05-15
