出表日期,報告年度,公司代號,公司名稱,消耗燃料總量(十億焦耳(GJ)),煤炭百分比,天然氣百分比,再生燃料百分比,date
1150513,113,2455,全新,18.2757,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2457,飛宏,125302.0700,0.00%,0.00%,6.24%,2026-05-15
1150513,113,2462,良得電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2466,冠西電,765.1942,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2468,華經,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2472,立隆電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2474,可成,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2476,鉅祥,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2478,大毅,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2480,敦陽科,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2482,連宇,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2483,百容,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2484,希華,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2485,兆赫,16407.5650,0.00%,97.87%,0.00%,2026-05-15
1150513,113,2486,一詮,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2489,瑞軒,N/A,0.00%,0.00%,N/A,2026-05-15
1150513,113,2491,吉祥全,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2492,華新科,200.0258,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2493,揚博,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2495,普安,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2497,怡利電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2498,宏達電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2501,國建,11324.8193,N/A,2.25%,N/A,2026-05-15
1150513,113,2505,國揚,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2506,太設,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2509,全坤建,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2511,太子,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2514,龍邦,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2515,中工,15758.8700,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2520,冠德,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2524,京城,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2528,皇普,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2530,華建,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2534,宏盛,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2535,達欣工,785.7454,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2537,聯上發,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2539,櫻花建,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2540,愛山林,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2542,興富發,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2543,皇昌,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2545,皇翔,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2546,根基,6030.9556,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2548,華固,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2597,潤弘,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2601,益航,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2603,長榮,N/A,N/A,N/A,N/A,2026-05-15
