出表日期,報告年度,公司代號,公司名稱,前10大股東持股情形,date
1150513,113,1434,福懋,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1434_20250620F17.pdf,2026-05-15
1150513,113,1435,中福,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1435_20250620F17.pdf,2026-05-15
1150513,113,1436,華友聯,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1436_20250522F17.pdf,2026-05-15
1150513,113,1437,勤益控,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1437_20250605F17.pdf,2026-05-15
1150513,113,1438,三地開發,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1438_20250623F17.pdf,2026-05-15
1150513,113,1439,雋揚,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1439_20250619F17.pdf,2026-05-15
1150513,113,1440,南紡,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1440_20250526F17.pdf,2026-05-15
1150513,113,1441,大東,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1441_20250528F17.pdf,2026-05-15
1150513,113,1442,名軒,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1442_20250619F17.pdf,2026-05-15
1150513,113,1443,立益物流,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1443_20250611F17.pdf,2026-05-15
1150513,113,1444,力麗,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1444_20250613F17.pdf,2026-05-15
1150513,113,1445,大宇,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1445_20250529F17.pdf,2026-05-15
1150513,113,1446,宏和,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1446_20250613F17.doc,2026-05-15
1150513,113,1447,力鵬,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1447_20250613F17.pdf,2026-05-15
1150513,113,1449,佳和,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1449_20250619F17.pdf,2026-05-15
1150513,113,1451,年興,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1451_20250617F17.pdf,2026-05-15
1150513,113,1452,宏益,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1452_20250613F17.pdf,2026-05-15
1150513,113,1453,大將,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1453_20250613F17.pdf,2026-05-15
1150513,113,1454,台富,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1454_20250623F17.pdf,2026-05-15
1150513,113,1455,集盛,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1455_20250610F17.pdf,2026-05-15
1150513,113,1456,怡華,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1456_20250529F17.pdf,2026-05-15
1150513,113,1457,宜進,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1457_20250610F17.pdf,2026-05-15
1150513,113,1459,聯發,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1459_20250625F17.pdf,2026-05-15
1150513,113,1460,宏遠,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1460_20250523F17.pdf,2026-05-15
1150513,113,1463,強盛新,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1463_20250527F17.pdf,2026-05-15
1150513,113,1464,得力,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1464_20250610F17.pdf,2026-05-15
1150513,113,1465,偉全,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1465_20250526F17.pdf,2026-05-15
1150513,113,1466,聚隆,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1466_20250617F17.pdf,2026-05-15
1150513,113,1467,南緯,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1467_20250613F17.pdf,2026-05-15
1150513,113,1468,昶和,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1468_20250616F17.pdf,2026-05-15
1150513,113,1470,大統新創,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1470_20250626F17.pdf,2026-05-15
1150513,113,1471,首利,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1471_20250620F17.pdf,2026-05-15
1150513,113,1472,三洋實業,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1472_20250528F17.pdf,2026-05-15
1150513,113,1473,台南,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1473_20250526F17.pdf,2026-05-15
1150513,113,1474,弘裕,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1474_20250626F17.pdf,2026-05-15
1150513,113,1475,業旺,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1475_20250625F17.pdf,2026-05-15
1150513,113,1476,儒鴻,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1476_20250613F17.pdf,2026-05-15
1150513,113,1477,聚陽,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1477_20250528F17.pdf,2026-05-15
1150513,113,1503,士電,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1503_20250613F17.pdf,2026-05-15
1150513,113,1504,東元,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1504_20250603F17.pdf,2026-05-15
1150513,113,1506,正道,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1506_20250610F17.pdf,2026-05-15
1150513,113,1512,瑞利,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1512_20250624F17.pdf,2026-05-15
