出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利,date
1150515,115,1,1597,直得科技股份有限公司,電機機械,0.43,新台幣                 10.0000元,334402.00,44301.00,7787.00,37908.00,2026-05-15
1150515,115,1,1598,岱宇國際股份有限公司,運動休閒,0.25,新台幣                 10.0000元,1638270.00,57360.00,6744.00,34633.00,2026-05-15
1150515,115,1,1603,中華電線電纜股份有限公司,電器電纜,0.29,新台幣                 10.0000元,1304277.00,71842.00,-3697.00,45700.00,2026-05-15
1150515,115,1,1604,聲寶股份有限公司,電器電纜,0.51,新台幣                 10.0000元,2372906.00,152503.00,71831.00,192257.00,2026-05-15
1150515,115,1,1605,華新麗華股份有限公司,電器電纜,0.81,新台幣                 10.0000元,41070352.00,547321.00,3512706.00,3498015.00,2026-05-15
1150515,115,1,1608,華榮電線電纜股份有限公司,電器電纜,0.37,新台幣                 10.0000元,3453119.00,419422.00,-148662.00,203171.00,2026-05-15
1150515,115,1,1609,大亞電線電纜股份有限公司,電器電纜,0.66,新台幣                 10.0000元,8341066.00,1174452.00,-362212.00,603557.00,2026-05-15
1150515,115,1,1612,宏泰電工股份有限公司,電器電纜,0.82,新台幣                 10.0000元,1919326.00,273484.00,45600.00,260733.00,2026-05-15
1150515,115,1,1614,台灣三洋電機股份有限公司,電器電纜,0.47,新台幣                 10.0000元,1262257.00,34894.00,117731.00,122850.00,2026-05-15
1150515,115,1,1615,大山電線電纜股份有限公司,電器電纜,0.94,新台幣                 10.0000元,1317762.00,250732.00,-1450.00,184775.00,2026-05-15
1150515,115,1,1616,億泰電線電纜股份有限公司,電器電纜,0.28,新台幣                 10.0000元,1302894.00,70357.00,-4083.00,53518.00,2026-05-15
1150515,115,1,1617,榮星電線工業股份有限公司,電器電纜,0.08,新台幣                 10.0000元,911155.00,14007.00,2457.00,12801.00,2026-05-15
1150515,115,1,1623,大東電業廠股份有限公司,電器電纜,4.33,新台幣                 10.0000元,1862335.00,367855.00,-18603.00,280064.00,2026-05-15
1150515,115,1,1626,艾美特(開曼)國際有限公司,電器電纜,-1.11,新台幣                 10.0000元,1835215.00,-142303.00,-54401.00,-166994.00,2026-05-15
1150515,115,1,1702,南僑投資控股股份有限公司,食品工業,0.12,新台幣                 10.0000元,5815363.00,68282.00,71481.00,91243.00,2026-05-15
1150515,115,1,1707,葡萄王生技股份有限公司,生技醫療業,1.18,新台幣                 10.0000元,2277961.00,335331.00,28142.00,286455.00,2026-05-15
1150515,115,1,1708,東南實業股份有限公司,化學工業,1.11,新台幣                 10.0000元,1553624.00,259013.00,82028.00,277585.00,2026-05-15
1150515,115,1,1710,東聯化學股份有限公司,化學工業,-0.15,新台幣                 10.0000元,5345825.00,-176669.00,-42622.00,-211190.00,2026-05-15
1150515,115,1,1711,臺灣永光化學工業股份有限公司,化學工業,0.09,新台幣                 10.0000元,2045450.00,37488.00,26087.00,49650.00,2026-05-15
1150515,115,1,1712,興農股份有限公司,化學工業,0.67,新台幣                 10.0000元,4795226.00,366591.00,14746.00,285540.00,2026-05-15
1150515,115,1,1713,國泰化工廠股份有限公司,化學工業,1.36,新台幣                 10.0000元,112434.00,-12149.00,217772.00,205623.00,2026-05-15
1150515,115,1,1714,和桐化學股份有限公司,化學工業,0.23,新台幣                 10.0000元,7139550.00,490214.00,45343.00,404305.00,2026-05-15
1150515,115,1,1717,長興材料工業股份有限公司,化學工業,0.37,新台幣                 10.0000元,10243036.00,534996.00,87231.00,429777.00,2026-05-15
1150515,115,1,1720,生達化學製藥股份有限公司,生技醫療業,1.30,新台幣                 10.0000元,1651875.00,343566.00,31696.00,298593.00,2026-05-15
1150515,115,1,1721,三晃股份有限公司,化學工業,-0.36,新台幣                 10.0000元,393220.00,-63599.00,-211.00,-65847.00,2026-05-15
1150515,115,1,1722,台灣肥料股份有限公司,化學工業,0.19,新台幣                 10.0000元,3750158.00,-48610.00,274773.00,184554.00,2026-05-15
