出表日期,報告年度,公司代號,公司名稱,售出產品重量(公噸(t)),生產設施場所數量(座),依產品類別之產品產量,date
1150513,113,2412,中華電,N/A,N/A,"1. 國內固定通信-市內網路：客戶數為888.7萬戶
2. 國內固定通信-長途網路：通信量為1,007百萬分鐘
3. 國內固定通信-寬頻接取：客戶數為442.8萬戶
4. 國內固定通信-MOD：客戶數為204.8萬戶
5. 行動通信：客戶數為1,129.1萬戶
6. 網際網路：客戶數為374.1萬戶",2026-05-15
1150513,113,2414,精技,N/A,N/A,N/A,2026-05-15
1150513,113,2419,仲琦,N/A,1,約 300萬台,2026-05-15
1150513,113,2421,建準,11264.961,5,"AC 風扇：2,492,344 台
DC 風扇：118,099,572 台",2026-05-15
1150513,113,2423,固緯,N/A,N/A,N/A,2026-05-15
1150513,113,2424,隴華,N/A,N/A,N/A,2026-05-15
1150513,113,2426,鼎元,N/A,N/A,"化合物半導體元件產量 7,543,266 仟顆
Si 元件產量 16,169,009  仟顆及 124,946 片",2026-05-15
1150513,113,2428,興勤,N/A,N/A,N/A,2026-05-15
1150513,113,2429,銘旺科,N/A,N/A,N/A,2026-05-15
1150513,113,2431,聯昌,N/A,N/A,N/A,2026-05-15
1150513,113,2432,倚天酷碁-創,N/A,N/A,N/A,2026-05-15
1150513,113,2433,互盛電,N/A,N/A,N/A,2026-05-15
1150513,113,2434,統懋,N/A,N/A,N/A,2026-05-15
1150513,113,2436,偉詮電,N/A,N/A,N/A,2026-05-15
1150513,113,2438,翔耀,N/A,N/A,N/A,2026-05-15
1150513,113,2439,美律,N/A,6,"耳機：21,067
音響及揚聲器：211,929
其他：54,285",2026-05-15
1150513,113,2440,太空梭,N/A,N/A,N/A,2026-05-15
1150513,113,2441,超豐,N/A,N/A,"IC封裝 8,355,441仟顆
IC測試 4,966,192仟顆",2026-05-15
1150513,113,2449,京元電子,0.000,3,屬測試封裝廠，無自有產品,2026-05-15
1150513,113,2450,神腦,N/A,N/A,N/A,2026-05-15
1150513,113,2451,創見,N/A,N/A,N/A,2026-05-15
1150513,113,2453,凌群,N/A,N/A,N/A,2026-05-15
1150513,113,2454,聯發科,N/A,N/A,"多媒體晶片及手機晶片等產量：8,881,843仟顆。",2026-05-15
1150513,113,2455,全新,N/A,N/A,N/A,2026-05-15
1150513,113,2457,飛宏,N/A,6,"電源供應器產品銷售量	  46,213,468(個)
電動車能源產品銷售量  	     1,123,127(個)
          合　　　計                     47,336,595(個)",2026-05-15
1150513,113,2458,義隆,N/A,N/A,"388,335(千粒)",2026-05-15
1150513,113,2462,良得電,N/A,N/A,N/A,2026-05-15
1150513,113,2464,盟立,N/A,N/A,N/A,2026-05-15
1150513,113,2466,冠西電,N/A,2,"光耦系列總計重量：134.42公噸
繼電器系列總計重量：3.43公噸",2026-05-15
1150513,113,2468,華經,N/A,N/A,N/A,2026-05-15
1150513,113,2472,立隆電,N/A,N/A,N/A,2026-05-15
1150513,113,2474,可成,N/A,N/A,"13,741,676件",2026-05-15
1150513,113,2476,鉅祥,N/A,N/A,0,2026-05-15
1150513,113,2478,大毅,N/A,N/A,N/A,2026-05-15
1150513,113,2480,敦陽科,N/A,N/A,N/A,2026-05-15
1150513,113,2481,強茂,N/A,N/A,"分離器件：18,175KK",2026-05-15
1150513,113,2482,連宇,N/A,N/A,N/A,2026-05-15
1150513,113,2485,兆赫,N/A,N/A,"數位通訊產品及零組件：3,511 仟個",2026-05-15
1150513,113,2486,一詮,N/A,N/A,"導線架產量6,011,370 Kpcs
半導體產量51,819,214 Pcs",2026-05-15
1150513,113,2489,瑞軒,N/A,N/A,"2024年電視及顯示器總共出貨462萬台，滑鼠和網路攝影機出貨4,083萬台",2026-05-15
1150513,113,2491,吉祥全,N/A,N/A,N/A,2026-05-15
1150513,113,2492,華新科,N/A,N/A,"主要產品產量 (單位：百萬片)
電容：380,108、晶片電阻：534,748、射頻元件：3,184
、保護元件：20,950、介電瓷粉：2,567、其他：169",2026-05-15
1150513,113,2495,普安,157.000,2,"磁碟陣列控制產品: 38,663片(台)",2026-05-15
1150513,113,2497,怡利電,N/A,N/A,N/A,2026-05-15
1150513,113,2498,宏達電,N/A,1,虛擬實境及5G、智慧型手機和智能裝置(含配件): 246（千台）,2026-05-15
1150513,113,2501,國建,N/A,N/A,N/A,2026-05-15
1150513,113,2505,國揚,N/A,N/A,N/A,2026-05-15
1150513,113,2506,太設,N/A,N/A,N/A,2026-05-15
1150513,113,2511,太子,N/A,N/A,N/A,2026-05-15
1150513,113,2514,龍邦,N/A,N/A,N/A,2026-05-15
1150513,113,2524,京城,N/A,N/A,N/A,2026-05-15
1150513,113,2528,皇普,N/A,N/A,N/A,2026-05-15
1150513,113,2530,華建,N/A,N/A,N/A,2026-05-15
1150513,113,2534,宏盛,N/A,N/A,N/A,2026-05-15
1150513,113,2535,達欣工,N/A,26,"1.本公司為營造業，主要提供營建相關服務，生產相關資訊主要依投入金額(以完工比例認列營收表達)，難以依產品重量表示。
2.113年生產量值(合併報表)，工程(含勞務)13,976,365仟元，建設713,828仟元。",2026-05-15
1150513,113,2536,宏普,N/A,N/A,N/A,2026-05-15
1150513,113,2537,聯上發,N/A,N/A,N/A,2026-05-15
1150513,113,2543,皇昌,N/A,N/A,N/A,2026-05-15
1150513,113,2546,根基,N/A,N/A,N/A,2026-05-15
1150513,113,2548,華固,N/A,N/A,N/A,2026-05-15
1150513,113,2597,潤弘,N/A,N/A,N/A,2026-05-15
1150513,113,2601,益航,N/A,N/A,N/A,2026-05-15
1150513,113,2603,長榮,N/A,N/A,N/A,2026-05-15
1150513,113,2607,榮運,N/A,N/A,N/A,2026-05-15
1150513,113,2608,嘉里大榮,N/A,N/A,N/A,2026-05-15
1150513,113,2609,陽明,N/A,N/A,N/A,2026-05-15
1150513,113,2610,華航,N/A,N/A,N/A,2026-05-15
1150513,113,2612,中航,N/A,N/A,N/A,2026-05-15
1150513,113,2614,東森,N/A,N/A,N/A,2026-05-15
1150513,113,2616,山隆,N/A,N/A,N/A,2026-05-15
1150513,113,2617,台航,N/A,N/A,N/A,2026-05-15
1150513,113,2618,長榮航,N/A,N/A,N/A,2026-05-15
1150513,113,2630,亞航,N/A,N/A,N/A,2026-05-15
1150513,113,2634,漢翔,N/A,N/A,N/A,2026-05-15
1150513,113,2636,台驊控股,N/A,N/A,N/A,2026-05-15
1150513,113,2637,慧洋-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2642,宅配通,N/A,N/A,N/A,2026-05-15
1150513,113,2646,星宇航空,N/A,N/A,N/A,2026-05-15
1150513,113,2701,萬企,N/A,N/A,N/A,2026-05-15
1150513,113,2702,華園,N/A,N/A,N/A,2026-05-15
