Code,Company,ApplicationDate,Chairman,AmountofCapital ,CommitteeDate,ApprovedDate,AgreementDate,ListingDate,ApprovedListingDate,Underwriter,UnderwritingPrice,Note,date
2243,宏旭-KY,1060329,林維源,369770,1060519,1060620,1060627,,1060927,富邦,33.00,,2026-05-15
6573,虹揚-KY,1060329,方丁玉,558530,1060515,1060620,1060622,,1060926,康和,33.60,,2026-05-15
4739,康普材料,1060615,何基丞,757254,,1060822,1060823,,1060908,福邦,,櫃轉市,2026-05-15
6579,研揚科技,1060421,莊永順,960000,1060614,1060620,1060623,,1060821,元大,88.00,,2026-05-15
4562,穎漢科技,1060407,胡炳南,600400,1060605,1060620,1060622,,1060821,台新,40.00,,2026-05-15
4807,日成-KY,1051215,帕查拉蓬 拍奔順通,339200,1060207,1060221,1060223,,1060626,永豐金,66.00,,2026-05-15
6582,申豐,1051230,邱秀瑩,943451,1060221,1060328,1060329,,1060614,凱基,68.00,,2026-05-15
4148,全宇生技-KY,1050728,彭士豪,565000,1051213,1060117,1060120,,1060608,永豐金,55.00,,2026-05-15
4560,強信-KY,1051228,綦秉信,580000,1060306,1060328,1060410,,1060526,富邦,34.50,,2026-05-15
2897,王道銀行,1050919,駱錦明,23905063,1051104,1051122,1051128,,1060505,元富,7.00,原名臺灣工業銀行股份有限公司,2026-05-15
6533,晶心科,1050630,蔡明介,360305,1051208,1051220,1051221,,1060314,宏遠,65.10,科技事業,2026-05-15
5284,jpp-KY,1051111,王文山,385393,,1060117,1060120,,1060309,元大,,櫃轉市,2026-05-15
8481,政伸,1050906,洪招儀,608669,1051101,1051122,1051128,,1060224,第一金,38.00,,2026-05-15
8480,泰昇-KY,1050819,戴朝榮,308830,1051004,1051018,1051021,,1060117,兆豐,107.00,,2026-05-15
