出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數,待註銷股本股數,母公司暨子公司所持有之母公司庫藏股股數,每股參考淨值,date
1150515,115,1,1446,宏和,2815567.00,407367.00,3222934.00,379721.00,2959.00,382680.00,1377095.00,,6584.00,1434771.00,21804.00,0.00,2840254.00,,,0.00,2840254.00,0.00,0.00,0.00,20.62,2026-05-15
1150515,115,1,1449,佳和,3129642.00,5021967.00,8151609.00,2835420.00,2360683.00,5196103.00,1271146.00,,135020.00,210565.00,681082.00,,2297813.00,,,657693.00,2955506.00,,0.00,0.00,18.08,2026-05-15
1150515,115,1,1451,年興,5411009.00,3378248.00,8789257.00,1104512.00,347455.00,1451967.00,1980000.00,,419716.00,5348073.00,-410499.00,,7337290.00,,,,7337290.00,,0.00,0.00,37.06,2026-05-15
1150515,115,1,1452,宏益,2006413.00,809613.00,2816026.00,114850.00,48347.00,163197.00,1326414.00,,156172.00,927975.00,242268.00,,2652829.00,,,,2652829.00,,0.00,0.00,20.00,2026-05-15
1150515,115,1,1453,大將,2844329.00,184478.00,3028807.00,1420502.00,159202.00,1579704.00,1132431.00,,2762.00,300480.00,,,1435673.00,,,13430.00,1449103.00,,0.00,0.00,12.68,2026-05-15
1150515,115,1,1454,台富,1066222.00,947653.00,2013875.00,670027.00,10499.00,680526.00,1298338.00,,57557.00,73389.00,-18903.00,-77032.00,1333349.00,,,0.00,1333349.00,,0.00,7714103.00,10.92,2026-05-15
1150515,115,1,1455,集盛,3072494.00,6327099.00,9399593.00,1880065.00,1771553.00,3651618.00,5316884.00,,346544.00,45076.00,39471.00,,5747975.00,,,,5747975.00,,0.00,0.00,10.81,2026-05-15
1150515,115,1,1456,怡華,10236670.00,3109544.00,13346214.00,10057949.00,1392237.00,11450186.00,937200.00,,18377.00,940451.00,,,1896028.00,,,,1896028.00,0.00,0.00,0.00,20.23,2026-05-15
1150515,115,1,1457,宜進,2671417.00,14194953.00,16866370.00,2305174.00,6004139.00,8309313.00,3167300.00,,562824.00,1797283.00,-27776.00,-349848.00,5149783.00,,,3407274.00,8557057.00,,0.00,83211323.00,22.05,2026-05-15
1150515,115,1,1459,聯發,2303265.00,2477874.00,4781139.00,1144782.00,93833.00,1238615.00,3586289.00,,297733.00,344524.00,-158759.00,-528645.00,3541142.00,,,1382.00,3542524.00,,0.00,41144531.00,11.15,2026-05-15
1150515,115,1,1460,宏遠,5454632.00,5416845.00,10871477.00,3834200.00,1303962.00,5138162.00,6946434.00,,115943.00,-1041454.00,45223.00,-332836.00,5733310.00,,,5.00,5733315.00,,0.00,20177533.00,8.50,2026-05-15
1150515,115,1,1463,強盛新,1968699.00,1176350.00,3145049.00,285884.00,122443.00,408327.00,1732684.00,,414531.00,454069.00,31243.00,-22714.00,2609813.00,,,126909.00,2736722.00,0.00,0.00,1676795.00,15.21,2026-05-15
1150515,115,1,1464,得力,8449782.00,8883213.00,17332995.00,8098544.00,3016037.00,11114581.00,4255757.00,,620321.00,1090262.00,-452133.00,-27472.00,5486735.00,,,731679.00,6218414.00,,0.00,2548653.00,12.97,2026-05-15
1150515,115,1,1465,偉全,1132563.00,603797.00,1736360.00,131896.00,34785.00,166681.00,1036073.00,,269229.00,278892.00,-14515.00,,,,,,1569679.00,,0.00,0.00,15.15,2026-05-15
