Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BestBidPrice,BestBidVolume,BestAskPrice,BestAskVolume,date
00961,FT臺灣永續高息,1596,12,17952,11.2500,11.1500,2498,11.2500,8824,2026-05-15
00962,台新AI優息動能,276,4,3788,13.7300,13.7000,698,13.7300,21818,2026-05-15
00963,中信全球高股息,68,1,863,12.7000,12.6700,6535,12.7000,1875,2026-05-15
00964,中信亞太高股息,,,,,14.5000,3194,14.5200,400,2026-05-15
00965,元大航太防衛科技,2448,28,62708,25.6200,25.6200,5186,25.6400,1133,2026-05-15
00971,野村美國研發龍頭,6,1,100,16.7700,16.7700,602,16.8000,1182,2026-05-15
00972,野村日本動能高息,,,,,19.3500,55786,19.4500,849,2026-05-15
009800,中信NASDAQ,6,1,77,12.9200,12.9200,3829,12.9500,1500,2026-05-15
009801,中信美國創新科技,800,4,9791,12.2400,12.1500,1798,12.2400,2618,2026-05-15
009802,富邦旗艦50,1147,11,20265,17.6700,17.6700,9243,17.7000,551,2026-05-15
009803,玉山市值動能50,200,3,4057,20.2900,20.2900,5153,20.3000,1829,2026-05-15
009804,聯邦台精彩50,935,6,19733,21.1100,21.1100,4927,21.1500,1903,2026-05-15
009805,新光美國電力基建,2650,25,45200,17.0600,17.0600,7646,17.0700,3164,2026-05-15
009808,華南永昌優選50,,,,,28.6000,398,28.8000,241,2026-05-15
009809,富邦淨零ESG50,242,1,3751,15.5000,15.5000,3769,15.5700,82,2026-05-15
00980A,主動野村臺灣優選,928,17,22312,24.0500,24.0500,8152,24.0600,3112,2026-05-15
009810,玉山全球藍籌100,29,1,600,20.7200,20.5100,1997,20.7200,1460,2026-05-15
009811,統一美國50,723,3,9370,12.9600,12.9600,4785,12.9700,1666,2026-05-15
009812,野村日本東證,250,2,3062,12.2500,12.2000,1658,12.2500,695,2026-05-15
009813,貝萊德標普卓越50,1395,7,15857,11.3700,11.3700,3606,11.4500,296,2026-05-15
009816,凱基台灣TOP50,12095,98,168684,13.9500,13.9500,116506,13.9600,5636,2026-05-15
009817,國泰日本不動產,111,1,1010,9.1000,9.0700,4849,9.1000,305,2026-05-15
009818,華南永昌NASDAQxT,,,,,19.0700,350,,,2026-05-15
009819,中信數據及電力,2037,17,20465,10.0500,10.0400,18431,10.0500,2269,2026-05-15
00981A,主動統一台股增長,39667,326,1168063,29.4500,29.4500,81633,29.4600,11304,2026-05-15
00981T,平衡凱基雙核收息,49,2,582,11.8900,11.8600,1368,11.8900,1482,2026-05-15
009820,元大納斯達克精選,247,3,2482,10.0500,10.0500,5334,10.1000,1059,2026-05-15
00982A,主動群益台灣強棒,10122,83,234494,23.1700,23.1600,14697,23.1700,99389,2026-05-15
00982D,主動富邦動態入息,420,4,4183,9.9600,9.9500,83,9.9600,199,2026-05-15
00982T,平衡兆豐台美動能,,,,,14.4200,720,14.4500,1339,2026-05-15
00983A,主動中信ARK創新,459,5,5373,11.7100,11.7100,1809,11.7500,1099,2026-05-15
00983D,主動富邦複合收益,1268,9,12853,10.1400,10.0700,1521,10.1400,99075,2026-05-15
00984A,主動安聯台灣高息,418,3,6306,15.0900,15.0900,7037,15.1500,500,2026-05-15
00984D,主動聯博全球非投,,,,,10.0500,1097,,,2026-05-15
00985A,主動野村台灣50,2263,12,48536,21.4500,21.4500,6149,21.4600,649,2026-05-15
00985B,群益ESG投等債0-5,,,,,10.2200,321,10.2500,89,2026-05-15
00986A,主動台新龍頭成長,500,2,7415,14.8300,14.8300,999,14.9000,34,2026-05-15
00987A,主動台新優勢成長,884,8,15273,17.2800,17.2700,6903,17.2800,3235,2026-05-15
00988A,主動統一全球創新,38185,189,764785,20.0300,20.0200,8399,20.0300,197483,2026-05-15
00989A,主動摩根美國科技,513,5,8950,17.4500,17.4200,599,17.4500,1659,2026-05-15
00990A,主動元大AI新經濟,1349,15,24706,18.3200,18.3200,5444,18.3300,62,2026-05-15
00991A,主動復華未來50,8039,46,149514,18.6000,18.6000,33344,18.6500,557,2026-05-15
00992A,主動群益科技創新,3774,42,68934,18.2700,18.2700,40276,18.2800,701,2026-05-15
00993A,主動安聯台灣,1030,10,13613,13.2200,13.2200,1392,13.2300,4610,2026-05-15
00994A,主動第一金台股優,2534,19,44872,17.7100,17.7000,6222,17.7100,2322,2026-05-15
00995A,主動中信台灣卓越,301,2,5159,17.1400,17.1100,4355,17.1400,3068,2026-05-15
00996A,主動兆豐台灣豐收,891,14,12620,14.1700,14.1600,430,14.1700,6485,2026-05-15
00997A,主動群益美國增長,1882,15,24140,12.8300,12.8300,11703,12.8400,1170,2026-05-15
00999A,主動野村臺灣高息,2108,19,22295,10.5800,10.5800,21247,10.5900,2388,2026-05-15
01001T,土銀富邦R1,,,,,11.5100,3324,11.6500,856,2026-05-15
01002T,土銀國泰R1,,,,,14.1000,1838,14.2200,82,2026-05-15
01004T,土銀富邦R2,,,,,10.5200,2392,10.7500,604,2026-05-15
01007T,兆豐國泰R2,,,,,12.8400,2338,12.9500,30,2026-05-15
01009T,王道圓滿R1,,,,,5.5500,399,,,2026-05-15
01010T,京城樂富R1,,,,,9.9000,399,10.0500,416,2026-05-15
1101,台泥,7229,80,177442,24.5500,24.5500,23179,24.6000,15487,2026-05-15
1101B,台泥乙特,442,3,19933,45.1000,45.1000,3996,45.5000,340,2026-05-15
1102,亞泥,2801,29,98444,35.1500,35.1500,15595,35.2000,3422,2026-05-15
1103,嘉泥,626,16,8163,13.0500,13.0500,4154,13.1000,647,2026-05-15
1104,環泥,1149,19,32172,28.0000,28.0000,6500,28.2000,2651,2026-05-15
1108,幸福,110,2,1540,14.0000,14.0000,6581,14.9000,1587,2026-05-15
1109,信大,,,,,15.2500,3786,15.3000,50,2026-05-15
1110,東泥,70,1,1008,14.4000,14.3000,1598,14.4000,929,2026-05-15
1201,味全,642,10,7861,12.2500,12.2000,4839,12.2500,1560,2026-05-15
1203,味王,81,7,3451,42.6500,42.4000,798,42.6500,2301,2026-05-15
1210,大成,2316,36,121806,52.6000,52.6000,11292,52.9000,6889,2026-05-15
1213,大飲,550,2,4833,8.7900,8.7900,3648,8.9800,630,2026-05-15
1215,卜蜂,1116,49,154008,138.0000,138.0000,10917,139.0000,1548,2026-05-15
1216,統一,3217,55,240611,74.8000,74.8000,12219,74.9000,12254,2026-05-15
1217,愛之味,1931,22,18585,9.6300,9.6300,11121,9.6500,2480,2026-05-15
1218,泰山,833,20,15650,18.8000,18.8000,3392,18.9000,1597,2026-05-15
1219,福壽,1211,14,15676,12.9500,12.9500,3197,13.0000,1183,2026-05-15
1220,台榮,2892,39,35271,12.2000,12.1500,6997,12.2000,897,2026-05-15
1225,福懋油,1482,15,44826,30.2500,30.2500,2600,30.3500,813,2026-05-15
1227,佳格,101,3,2907,28.8000,28.7000,7832,28.8000,862,2026-05-15
1229,聯華,4028,36,161120,40.0000,39.9500,15442,40.0000,3944,2026-05-15
1231,聯華食,588,18,50568,86.0000,86.0000,3511,86.1000,1447,2026-05-15
1232,大統益,,,,,148.0000,3912,148.5000,1079,2026-05-15
1233,天仁,16,2,461,28.9000,28.6000,1598,28.9000,293,2026-05-15
1234,黑松,501,11,17034,34.0000,34.0000,5069,34.0500,1858,2026-05-15
1235,興泰,5,1,200,40.1000,40.0000,2789,40.1000,945,2026-05-15
1236,宏亞,22,4,540,24.6000,24.5000,1688,24.6000,1735,2026-05-15
1256,鮮活果汁-KY,23,4,4255,185.0000,184.5000,3817,185.0000,4200,2026-05-15
1301,台塑,6813,86,314737,46.2000,46.2000,18302,46.2500,6689,2026-05-15
1303,南亞,10706,136,917471,85.7000,85.6000,30050,85.7000,46229,2026-05-15
1304,台聚,3222,39,40899,12.7000,12.6500,5552,12.7000,3268,2026-05-15
1305,華夏,1294,34,16351,12.6500,12.6000,5212,12.6500,376,2026-05-15
1307,三芳,189,2,6000,31.7500,31.7500,3928,32.0000,31,2026-05-15
1308,亞聚,817,21,10861,13.3000,13.3000,4148,13.3500,753,2026-05-15
1309,台達化,1915,34,30724,16.0500,16.0500,7454,16.1500,1410,2026-05-15
1310,台苯,2603,41,20912,8.0400,8.0100,8532,8.0400,3059,2026-05-15
1312,國喬,726,23,7824,10.8000,10.7500,35998,10.8000,8234,2026-05-15
1312A,國喬特,,,,,21.0000,2398,,,2026-05-15
1313,聯成,2851,32,30062,10.5500,10.5500,4494,10.6000,3990,2026-05-15
1314,中石化,9774,82,67500,6.9100,6.9100,14267,6.9200,46041,2026-05-15
1315,達新,1,1,61,61.3000,61.3000,2965,61.7000,304,2026-05-15
1316,上曜,1036,10,11494,11.1000,11.1000,4992,11.2500,2937,2026-05-15
1319,東陽,1150,9,91424,79.5000,79.4000,9265,79.5000,23048,2026-05-15
1321,大洋,,,,,29.3000,1635,30.4000,1000,2026-05-15
1323,永裕,32,2,620,19.4000,19.4000,3423,19.5000,50,2026-05-15
1324,地球,618,7,6363,10.3000,10.2500,1371,10.3000,1264,2026-05-15
1325,恆大,16,2,432,27.0000,27.0000,1283,27.1000,197,2026-05-15
1326,台化,5568,76,250560,45.0000,44.9500,13014,45.0000,42854,2026-05-15
1337,再生-KY,872,12,4308,4.9500,4.9000,3511,4.9500,1422,2026-05-15
1338,廣華-KY,1,1,15,15.5500,15.5500,2162,16.0500,1556,2026-05-15
