Date,Code,Name,Suspension,date
1150515,2482,連宇,,2026-05-15
1150515,2483,百容,,2026-05-15
1150515,2484,希華,,2026-05-15
1150515,2485,兆赫,,2026-05-15
1150515,2488,漢平,,2026-05-15
1150515,2489,瑞軒,,2026-05-15
1150515,2491,吉祥全,,2026-05-15
1150515,2493,揚博,,2026-05-15
1150515,2495,普安,,2026-05-15
1150515,2496,卓越,,2026-05-15
1150515,2497,怡利電,,2026-05-15
1150515,2498,宏達電,,2026-05-15
1150515,2501,國建,,2026-05-15
1150515,2504,國產,,2026-05-15
1150515,2505,國揚,,2026-05-15
1150515,2506,太設,,2026-05-15
1150515,2509,全坤建,,2026-05-15
1150515,2511,太子,,2026-05-15
1150515,2514,龍邦,,2026-05-15
1150515,2515,中工,,2026-05-15
1150515,2520,冠德,,2026-05-15
1150515,2524,京城,,2026-05-15
1150515,2527,宏璟,,2026-05-15
1150515,2528,皇普,,2026-05-15
1150515,2530,華建,,2026-05-15
1150515,2534,宏盛,,2026-05-15
1150515,2535,達欣工,,2026-05-15
1150515,2536,宏普,,2026-05-15
1150515,2537,聯上發,,2026-05-15
1150515,2538,基泰,,2026-05-15
1150515,2539,櫻花建,,2026-05-15
1150515,2540,愛山林,,2026-05-15
1150515,2542,興富發,,2026-05-15
1150515,2543,皇昌,,2026-05-15
1150515,2545,皇翔,,2026-05-15
1150515,2546,根基,,2026-05-15
1150515,2547,日勝生,,2026-05-15
1150515,2548,華固,,2026-05-15
1150515,2597,潤弘,,2026-05-15
1150515,2603,長榮,,2026-05-15
1150515,2605,新興,,2026-05-15
1150515,2606,裕民,,2026-05-15
1150515,2607,榮運,,2026-05-15
1150515,2608,嘉里大榮,,2026-05-15
1150515,2609,陽明,,2026-05-15
1150515,2610,華航,,2026-05-15
1150515,2611,志信,,2026-05-15
1150515,2612,中航,,2026-05-15
1150515,2613,中櫃,,2026-05-15
1150515,2614,東森,,2026-05-15
1150515,2615,萬海,,2026-05-15
1150515,2616,山隆,,2026-05-15
1150515,2617,台航,,2026-05-15
1150515,2618,長榮航,,2026-05-15
1150515,2630,亞航,,2026-05-15
1150515,2633,台灣高鐵,,2026-05-15
1150515,2634,漢翔,,2026-05-15
1150515,2636,台驊控股,,2026-05-15
1150515,2637,慧洋-KY,,2026-05-15
1150515,2642,宅配通,,2026-05-15
1150515,2645,長榮航太,,2026-05-15
1150515,2646,星宇航空,,2026-05-15
1150515,2701,萬企,,2026-05-15
1150515,2702,華園,,2026-05-15
1150515,2704,國賓,,2026-05-15
1150515,2705,六福,,2026-05-15
1150515,2706,第一店,,2026-05-15
1150515,2707,晶華,,2026-05-15
1150515,2722,夏都,,2026-05-15
1150515,2723,美食-KY,,2026-05-15
1150515,2727,王品,,2026-05-15
1150515,2731,雄獅,,2026-05-15
1150515,2739,寒舍,,2026-05-15
1150515,2748,雲品,,2026-05-15
1150515,2753,八方雲集,,2026-05-15
1150515,2762,世界健身-KY,,2026-05-15
1150515,2801,彰銀,,2026-05-15
1150515,2812,台中銀,,2026-05-15
1150515,2816,旺旺保,,2026-05-15
1150515,2820,華票,,2026-05-15
1150515,2832,台產,,2026-05-15
1150515,2834,臺企銀,,2026-05-15
1150515,2836,高雄銀,,2026-05-15
1150515,2838,聯邦銀,,2026-05-15
1150515,2845,遠東銀,,2026-05-15
1150515,2849,安泰銀,,2026-05-15
1150515,2850,新產,,2026-05-15
1150515,2851,中再保,,2026-05-15
