Date,stock_id,stock_name,volume,amount,open,high,low,close,change,transactions,date
1150514,1810,和成,4123225.0,77680359.0,19.3,19.4,18.6,18.75,0.0,1136.0,2026-05-15
1150514,1817,凱撒衛,69119.0,2746366.0,40.25,40.3,39.4,39.4,-0.8,220.0,2026-05-15
1150514,1903,士紙,319984.0,15307950.0,48.05,48.3,47.55,47.55,-0.75,348.0,2026-05-15
1150514,1904,正隆,7652037.0,151170615.0,18.9,20.1,18.75,19.95,0.95,4909.0,2026-05-15
1150514,1905,華紙,3112881.0,37509555.0,12.15,12.15,11.95,12.1,-0.05,1030.0,2026-05-15
1150514,1906,寶隆,116904.0,1258854.0,10.7,10.95,10.6,10.7,0.0,218.0,2026-05-15
1150514,1907,永豐餘,1234130.0,30279280.0,24.45,24.75,24.35,24.45,-0.05,803.0,2026-05-15
1150514,1909,榮成,4181912.0,37467016.0,9.01,9.06,8.91,8.95,-0.16,1546.0,2026-05-15
1150514,2002,中鋼,36358341.0,667063222.0,18.5,18.5,18.3,18.3,-0.1,16484.0,2026-05-15
1150514,2006,東和鋼鐵,1401502.0,92360296.0,65.5,66.2,65.3,66.1,0.6,1449.0,2026-05-15
1150514,2007,燁興,427261.0,3020447.0,6.95,7.18,6.95,7.08,-0.15,262.0,2026-05-15
1150514,2008,高興昌,37655.0,1035571.0,27.5,27.95,27.5,27.5,-0.2,26.0,2026-05-15
1150514,2009,第一銅,2771646.0,114223819.0,41.6,42.0,40.55,40.6,-0.65,2817.0,2026-05-15
1150514,2010,春源,1879579.0,43722349.0,23.0,23.4,23.0,23.35,0.3,712.0,2026-05-15
1150514,2012,春雨,129355.0,1993012.0,14.7,16.2,14.7,14.8,0.05,153.0,2026-05-15
1150514,2013,中鋼構,107776.0,4593178.0,42.4,42.8,42.4,42.5,-0.15,152.0,2026-05-15
1150514,2014,中鴻,4432477.0,79872377.0,18.0,18.25,17.85,17.9,-0.05,1646.0,2026-05-15
1150514,2015,豐興,239573.0,15060038.0,62.1,63.3,62.1,63.1,0.5,243.0,2026-05-15
1150514,2017,官田鋼,997294.0,8718956.0,8.81,8.89,8.59,8.72,-0.2,621.0,2026-05-15
1150514,2020,美亞,429912.0,9401849.0,21.95,22.15,21.8,21.8,-0.3,446.0,2026-05-15
1150514,2022,聚亨,2465884.0,19584807.0,8.11,8.12,7.86,7.9,-0.38,1171.0,2026-05-15
1150514,2023,燁輝,2282854.0,31709722.0,13.85,13.95,13.8,13.95,0.05,715.0,2026-05-15
1150514,2024,志聯,13713.0,184142.0,13.45,13.55,13.4,13.4,-0.25,71.0,2026-05-15
1150514,2025,千興,691849.0,8565937.0,12.9,12.9,12.2,12.2,-0.7,537.0,2026-05-15
1150514,2027,大成鋼,57508095.0,2292360737.0,38.25,40.5,38.1,39.8,1.7,21202.0,2026-05-15
1150514,2028,威致,156678.0,2622604.0,16.85,17.0,16.65,16.65,-0.2,135.0,2026-05-15
1150514,2029,盛餘,227292.0,4592139.0,20.25,20.3,20.1,20.15,-0.2,123.0,2026-05-15
1150514,2030,彰源,3074661.0,55877855.0,18.3,18.5,17.95,17.95,-0.1,2444.0,2026-05-15
1150514,2031,新光鋼,554049.0,21517689.0,38.55,39.15,38.45,38.65,0.1,459.0,2026-05-15
1150514,2032,新鋼,467247.0,7999639.0,17.1,17.5,16.85,16.9,-0.25,277.0,2026-05-15
1150514,2033,佳大,157343.0,2342771.0,15.0,15.0,14.75,15.0,0.0,80.0,2026-05-15
1150514,2034,允強,1732725.0,34768572.0,20.0,20.4,19.9,19.95,-0.05,834.0,2026-05-15
1150514,2038,海光,429616.0,5867092.0,13.75,13.9,13.5,13.5,-0.15,327.0,2026-05-15
1150514,2049,上銀,9818187.0,3683595442.0,369.0,384.0,364.5,374.5,10.0,12219.0,2026-05-15
1150514,2059,川湖,230619.0,1173402700.0,5400.0,5400.0,5010.0,5010.0,-240.0,4124.0,2026-05-15
1150514,2062,橋椿,809775.0,15956354.0,19.95,19.95,19.5,19.6,-0.35,590.0,2026-05-15
1150514,2069,運錩,513638.0,10315618.0,20.05,20.25,19.9,20.0,0.0,259.0,2026-05-15
1150514,2072,世紀風電,1178767.0,199118022.0,173.0,173.5,162.5,171.5,-3.5,1755.0,2026-05-15
1150514,2101,南港,2133252.0,70657598.0,33.3,34.15,32.5,32.55,0.1,1581.0,2026-05-15
1150514,2102,泰豐,600479.0,10976195.0,18.3,18.5,18.05,18.15,-0.2,420.0,2026-05-15
1150514,2103,台橡,6625740.0,146049805.0,21.7,22.45,21.5,22.0,0.4,3172.0,2026-05-15
1150514,2104,國際中橡,3540466.0,35312829.0,10.0,10.1,9.92,9.94,-0.06,1382.0,2026-05-15
1150514,2105,正新,9627927.0,304992048.0,31.35,32.1,31.15,31.9,0.7,4867.0,2026-05-15
1150514,2106,建大,1169230.0,19730918.0,17.05,17.15,16.75,16.85,-0.2,1549.0,2026-05-15
1150514,2107,厚生,367215.0,9355017.0,25.35,25.6,25.35,25.45,0.2,323.0,2026-05-15
1150514,2108,南帝,979970.0,27341002.0,27.6,28.35,27.5,27.65,-0.05,687.0,2026-05-15
1150514,2109,華豐,193801.0,2720772.0,14.1,14.15,14.0,14.0,0.0,123.0,2026-05-15
1150514,2114,鑫永銓,73465.0,6476920.0,88.0,88.5,87.9,88.0,0.0,59.0,2026-05-15
1150514,2115,六暉-KY,250812.0,5156286.0,20.75,20.75,20.4,20.45,-0.3,135.0,2026-05-15
1150514,2201,裕隆,2626041.0,72026918.0,27.85,27.95,27.2,27.3,-0.3,2065.0,2026-05-15
1150514,2204,中華,3028807.0,158478592.0,52.7,53.1,52.0,52.2,-0.7,2209.0,2026-05-15
