Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
03037T,南亞科凱基5A售03,,,,0.54,,,2026-05-15
03038T,群創凱基5A售04,,,,0.85,,,2026-05-15
03039T,臺股指凱基65售03,,,,0.87,,,2026-05-15
03040T,力積電元大5A售07,,,,0.78,,,2026-05-15
03042T,群創元大5A售04,,,,0.69,,,2026-05-15
03043T,臺股指元大5A售30,,,,0.93,,,2026-05-15
03045T,鴻海凱基5C售07,,,,1.18,,,2026-05-15
03047T,台灣50富邦5A售03,,,,0.56,,,2026-05-15
03047X,元展44,,,,28.60,,,2026-05-15
03049T,台灣50富邦5C售12,,,,0.49,,,2026-05-15
03050T,T50正2富邦5B售04,,,,0.63,,,2026-05-15
030518,滬深2X凱基59購02,,,,3.90,,,2026-05-15
030526,鴻海凱基56購03,,,,0.59,,,2026-05-15
03052T,臺股指富邦5A售15,,,,0.36,,,2026-05-15
030548,台泥統一57購01,,,,0.12,,,2026-05-15
030549,亞泥統一58購01,,,,0.14,,,2026-05-15
03054T,臺股指富邦5A售17,,,,0.51,,,2026-05-15
03054U,台積電永豐55售02,,,,0.01,,,2026-05-15
030550,台塑統一56購02,,,,0.13,,,2026-05-15
030551,台塑統一58購01,,,,0.13,,,2026-05-15
030553,三芳統一58購01,,,,0.07,,,2026-05-15
030555,台化統一58購02,,,,1.67,,,2026-05-15
030557,華城統一58購01,,,,0.43,,,2026-05-15
03055T,臺股指富邦5B售10,,,,0.51,,,2026-05-15
030563,中鴻統一57購01,,,,0.31,5,,2026-05-15
030564,大成鋼統一58購02,,,,0.25,,,2026-05-15
030565,上銀統一57購03,,,,2.15,,,2026-05-15
030567,川湖統一58購03,,,,1.57,,,2026-05-15
030568,光寶科統一56購02,,,,2.48,,,2026-05-15
030569,光寶科統一58購01,,,,1.96,,,2026-05-15
030573,台積電統一68購01,,,,2.12,,,2026-05-15
030574,智邦統一58購01,,,,6.30,,,2026-05-15
030575,智邦統一58購02,,,,7.10,,,2026-05-15
030576,智邦統一5A購01,,,,3.04,,,2026-05-15
030577,英業達統一57購03,,,,0.43,,,2026-05-15
030578,金像電統一62購01,,,,4.77,,,2026-05-15
030579,台光電統一58購02,,,,12.20,,,2026-05-15
030580,台光電統一62購01,,,,3.44,,,2026-05-15
030581,南亞科統一58購02,,,,19.10,,,2026-05-15
030582,鉅祥統一58購01,,,,0.76,,,2026-05-15
030583,長榮統一57購01,,,,0.17,,,2026-05-15
030585,萬海統一57購01,,,,0.04,,,2026-05-15
030586,漢翔統一58購01,,,,0.15,,,2026-05-15
03058T,臺股指凱基5A售48,,,,0.77,,,2026-05-15
