日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記,date
1150514,台灣永續價值報酬指數,13666.64,+,154.26,1.14,,2026-05-15
1150514,特選臺灣IC設計報酬指數,9222.75,+,65.34,0.71,,2026-05-15
1150514,特選臺灣環境永續高股息報酬指數,10487.18,+,83.06,0.80,,2026-05-15
1150514,臺灣友善環境50報酬指數,13440.18,+,115.80,0.87,,2026-05-15
1150514,特選臺灣IC設計產業代表報酬指數,11622.38,+,57.25,0.50,,2026-05-15
1150514,特選臺灣綠能報酬指數,10880.68,-,297.80,-2.66,,2026-05-15
1150514,特選臺灣智慧50報酬指數,11475.50,+,147.93,1.31,,2026-05-15
1150514,臺灣晶圓製造報酬指數,17397.89,+,430.33,2.54,,2026-05-15
1150514,臺灣精選高息報酬指數,10008.82,+,148.13,1.50,,2026-05-15
1150514,臺灣多因子優選高股息30報酬指數,12101.81,+,198.64,1.67,,2026-05-15
1150514,特選臺灣優利高填息30報酬指數,12392.25,+,197.64,1.62,,2026-05-15
1150514,特選臺灣科技優息報酬指數,15418.44,+,238.02,1.57,,2026-05-15
1150514,臺灣半導體收益報酬指數,16822.81,+,358.84,2.18,,2026-05-15
1150514,臺灣優選成長高股息報酬指數,12658.91,+,67.51,0.54,,2026-05-15
1150514,特選臺灣ESG低碳高息40報酬指數,11594.59,+,28.85,0.25,,2026-05-15
1150514,臺灣優選多因子30報酬指數,13991.71,+,129.99,0.94,,2026-05-15
1150514,臺灣創新科技50報酬指數,22290.76,+,229.19,1.04,,2026-05-15
1150514,臺灣全市場新經濟產業報酬指數,4015.49,-,42.64,-1.05,,2026-05-15
1150514,臺灣ESG永續高股息等權重報酬指數,7886.08,+,28.77,0.37,,2026-05-15
1150514,臺灣永續高息中小型報酬指數,8042.67,-,72.37,-0.89,,2026-05-15
1150514,特選臺灣高息動能報酬指數,9400.17,+,53.76,0.58,,2026-05-15
1150514,臺灣電子成長高息等權重報酬指數,8606.29,+,89.82,1.05,,2026-05-15
1150514,特選臺灣優利成長報酬指數,7561.09,-,7.02,-0.09,,2026-05-15
1150514,臺灣價值高息報酬指數,7329.10,+,11.85,0.16,,2026-05-15
1150514,特選臺灣IC設計動能報酬指數,13620.86,+,223.77,1.67,,2026-05-15
1150514,臺灣趨勢動能高股息報酬指數,8197.06,+,73.05,0.90,,2026-05-15
1150514,特選臺灣科技高息成長報酬指數,8368.98,+,195.77,2.40,,2026-05-15
1150514,特選臺灣AI優息動能報酬指數,7343.93,-,13.87,-0.19,,2026-05-15
1150514,臺灣優選AI 50報酬指數,9489.19,+,35.25,0.37,,2026-05-15
1150514,臺灣AI供應鏈聯盟報酬指數,16838.94,+,94.89,0.57,,2026-05-15
1150514,台灣旗艦動能50報酬指數,9777.46,-,115.97,-1.17,,2026-05-15
1150514,特選臺灣動能趨勢報酬指數,15336.55,+,175.45,1.16,,2026-05-15
1150514,漲升股利150報酬指數,29221.38,+,88.78,0.30,,2026-05-15
1150514,藍籌30報酬指數,35036.92,+,339.66,0.98,,2026-05-15
1150514,工業菁英30報酬指數,31603.17,+,375.43,1.20,,2026-05-15
1150514,低波動股利精選30報酬指數,15116.08,+,146.46,0.98,,2026-05-15
1150514,中小型A級動能50報酬指數,41768.82,+,409.85,0.99,,2026-05-15
1150514,特選高息低波報酬指數,17554.31,+,134.78,0.77,,2026-05-15
1150514,臺灣永續報酬指數,32212.07,+,130.94,0.41,,2026-05-15
1150514,存股雙十等權重報酬指數,25642.07,+,492.10,1.96,,2026-05-15
1150514,特選大蘋果報酬指數,34742.67,+,172.56,0.50,,2026-05-15
1150514,中小型300報酬指數,21236.21,-,58.00,-0.27,,2026-05-15
1150514,微波高息精選20報酬指數,14863.47,+,428.80,2.97,,2026-05-15
1150514,特選世代行動通訊報酬指數,24276.40,+,64.62,0.27,,2026-05-15
1150514,智慧投資多因子30報酬指數,10488.18,+,71.98,0.69,,2026-05-15
1150514,特選大蘋果報酬正向兩倍指數,189855.10,+,"1,876.62",1.00,,2026-05-15
1150514,特選大蘋果報酬反向一倍指數,1257.99,-,6.31,-0.50,,2026-05-15
1150514,臺灣上櫃永續報酬指數,17788.70,+,395.22,2.27,,2026-05-15
1150514,特選台股領航報酬指數,29716.15,-,201.95,-0.68,,2026-05-15
1150514,特選Smart多因子報酬指數,21628.86,+,161.45,0.75,,2026-05-15
1150514,特選ESG高股息報酬指數,14608.05,+,113.09,0.78,,2026-05-15
1150514,特選上櫃ESG成長報酬指數,12364.55,+,464.65,3.90,,2026-05-15
1150514,臺灣優息存股報酬指數,6350.30,-,28.73,-0.45,,2026-05-15
1150514,特選上櫃ESG永續高股息報酬指數,18176.11,+,676.89,3.87,,2026-05-15
1150514,特選臺灣金融高股息存股報酬指數,9149.05,-,31.66,-0.34,,2026-05-15
1150514,特選臺灣產業龍頭存股等權重報酬指數,9638.13,-,17.76,-0.18,,2026-05-15
1150514,上櫃ESG 30報酬指數,17763.21,+,362.86,2.09,,2026-05-15
1150514,臺灣ESG低碳50報酬指數,17304.06,+,154.62,0.90,,2026-05-15
1150514,臺灣創新板報酬指數,15349.47,+,293.05,1.95,,2026-05-15
1150514,特選上櫃ESG龍頭報酬指數,14540.61,+,405.96,2.87,,2026-05-15
1150514,臺灣市值動能50報酬指數,10639.82,+,54.71,0.52,,2026-05-15
