Date,stock_id,stock_name,pe,div_yield,pb,date
1150514,2423,固緯,20.62,3.41,3.79,2026-05-15
1150514,2424,隴華,,,4.52,2026-05-15
1150514,2425,承啟,,0.28,1.35,2026-05-15
1150514,2426,鼎元,,0.15,5.34,2026-05-15
1150514,2427,三商電,16.41,3.33,1.21,2026-05-15
1150514,2428,興勤,19.27,2.78,2.31,2026-05-15
1150514,2429,銘旺科,,,5.99,2026-05-15
1150514,2430,燦坤,39.06,4.27,0.51,2026-05-15
1150514,2431,聯昌,,,1.07,2026-05-15
1150514,2432,倚天酷碁-創,13.67,6.48,1.48,2026-05-15
1150514,2433,互盛電,14.8,5.98,1.95,2026-05-15
1150514,2434,統懋,,,2.41,2026-05-15
1150514,2436,偉詮電,21.19,2.8,3.24,2026-05-15
1150514,2438,翔耀,,,4.07,2026-05-15
1150514,2439,美律,17.11,4.75,1.26,2026-05-15
1150514,2440,太空梭,,,1.18,2026-05-15
1150514,2441,超豐,21.63,2.97,2.28,2026-05-15
1150514,2442,新美齊,3.47,14.84,0.78,2026-05-15
1150514,2444,兆勁,,,1.69,2026-05-15
1150514,2449,京元電子,40.16,0.51,6.65,2026-05-15
1150514,2450,神腦,19.22,5.27,1.24,2026-05-15
1150514,2451,創見,11.14,3.43,5.66,2026-05-15
1150514,2453,凌群,17.45,5.11,2.69,2026-05-15
1150514,2454,聯發科,54.26,1.57,13.93,2026-05-15
1150514,2455,全新,113.09,0.74,18.08,2026-05-15
1150514,2457,飛宏,,,1.17,2026-05-15
1150514,2458,義隆,16.46,4.73,4.43,2026-05-15
1150514,2459,敦吉,12.58,6.38,1.25,2026-05-15
1150514,2460,建通,,,3.59,2026-05-15
1150514,2461,光群雷,,6.27,0.92,2026-05-15
1150514,2462,良得電,287.14,1.0,0.91,2026-05-15
1150514,2464,盟立,,0.43,4.72,2026-05-15
1150514,2465,麗臺,62.58,,6.44,2026-05-15
1150514,2466,冠西電,201.67,,4.18,2026-05-15
1150514,2467,志聖,81.12,0.9,11.44,2026-05-15
1150514,2468,華經,26.28,3.04,1.8,2026-05-15
1150514,2471,資通,13.11,6.59,2.45,2026-05-15
1150514,2472,立隆電,26.76,1.51,3.97,2026-05-15
1150514,2474,可成,18.25,5.33,0.75,2026-05-15
1150514,2476,鉅祥,27.23,2.52,2.79,2026-05-15
1150514,2477,美隆電,12.81,6.75,0.81,2026-05-15
1150514,2478,大毅,22.13,2.22,1.61,2026-05-15
1150514,2480,敦陽科,17.88,5.2,5.34,2026-05-15
1150514,2481,強茂,36.67,1.56,3.04,2026-05-15
1150514,2482,連宇,,0.61,1.2,2026-05-15
1150514,2483,百容,26.41,1.23,1.01,2026-05-15
1150514,2484,希華,51.76,1.83,1.49,2026-05-15
1150514,2485,兆赫,1767.5,,4.25,2026-05-15
1150514,2486,一詮,507.84,0.19,11.49,2026-05-15
1150514,2488,漢平,11.16,5.79,1.42,2026-05-15
1150514,2489,瑞軒,37.2,2.96,1.91,2026-05-15
1150514,2491,吉祥全,14.13,,1.78,2026-05-15
1150514,2492,華新科,42.15,1.09,1.99,2026-05-15
1150514,2493,揚博,33.1,2.86,6.11,2026-05-15
1150514,2495,普安,32.21,2.2,2.13,2026-05-15
1150514,2496,卓越,10.11,7.73,1.44,2026-05-15
1150514,2497,怡利電,25.27,3.5,2.41,2026-05-15
1150514,2498,宏達電,21.3,,1.36,2026-05-15
1150514,2501,國建,7.77,5.45,0.83,2026-05-15
1150514,2504,國產,10.4,7.6,1.44,2026-05-15
1150514,2505,國揚,8.87,5.67,0.63,2026-05-15
1150514,2506,太設,,2.33,0.4,2026-05-15
1150514,2509,全坤建,,,0.76,2026-05-15
1150514,2511,太子,21.83,3.93,0.48,2026-05-15
1150514,2514,龍邦,7.41,,0.36,2026-05-15
1150514,2515,中工,32.25,3.88,0.92,2026-05-15
1150514,2516,新建,10.81,,1.36,2026-05-15
1150514,2520,冠德,12.93,5.14,0.76,2026-05-15
1150514,2524,京城,60.09,,0.59,2026-05-15
1150514,2527,宏璟,35.86,4.5,0.51,2026-05-15
1150514,2528,皇普,9.31,13.48,1.35,2026-05-15
1150514,2530,華建,10.37,8.79,1.75,2026-05-15
1150514,2534,宏盛,17.28,8.43,0.56,2026-05-15
1150514,2535,達欣工,9.0,6.13,1.97,2026-05-15
1150514,2536,宏普,6.07,2.49,0.53,2026-05-15
1150514,2537,聯上發,31.22,,0.66,2026-05-15
1150514,2538,基泰,27.4,7.3,0.75,2026-05-15
1150514,2539,櫻花建,11.17,7.24,2.57,2026-05-15
1150514,2540,愛山林,80.74,7.29,3.16,2026-05-15
1150514,2542,興富發,13.28,9.27,1.65,2026-05-15
1150514,2543,皇昌,14.91,12.56,2.12,2026-05-15
1150514,2545,皇翔,21.17,7.39,0.96,2026-05-15
1150514,2546,根基,8.93,7.07,1.79,2026-05-15
1150514,2547,日勝生,71.43,8.0,0.72,2026-05-15
1150514,2548,華固,9.87,6.72,1.96,2026-05-15
1150514,2597,潤弘,13.91,6.12,5.27,2026-05-15
1150514,2601,益航,,,0.53,2026-05-15
1150514,2603,長榮,6.68,7.57,0.81,2026-05-15
1150514,2605,新興,14.86,3.22,1.03,2026-05-15
1150514,2606,裕民,12.4,4.33,1.34,2026-05-15
1150514,2607,榮運,8.67,5.74,0.82,2026-05-15
1150514,2608,嘉里大榮,14.73,5.57,1.09,2026-05-15
1150514,2609,陽明,15.78,4.12,0.52,2026-05-15
1150514,2610,華航,7.25,4.42,1.1,2026-05-15
1150514,2611,志信,10.0,3.97,0.93,2026-05-15
1150514,2612,中航,10.4,3.85,0.83,2026-05-15
1150514,2613,中櫃,18.86,4.65,0.89,2026-05-15
1150514,2614,東森,9.25,6.52,1.4,2026-05-15
1150514,2615,萬海,6.67,4.01,0.76,2026-05-15
1150514,2616,山隆,,2.2,0.71,2026-05-15
1150514,2617,台航,8.81,5.15,0.66,2026-05-15
1150514,2618,長榮航,6.64,5.71,1.4,2026-05-15
1150514,2630,亞航,45.69,2.1,2.66,2026-05-15
1150514,2633,台灣高鐵,21.4,4.44,1.95,2026-05-15
1150514,2634,漢翔,57.94,1.68,2.41,2026-05-15
1150514,2636,台驊控股,9.91,7.39,0.98,2026-05-15
1150514,2637,慧洋-KY,10.53,4.67,1.11,2026-05-15
1150514,2642,宅配通,,2.38,1.11,2026-05-15
1150514,2645,長榮航太,23.36,3.27,4.53,2026-05-15
1150514,2646,星宇航空,224.44,,1.93,2026-05-15
1150514,2701,萬企,18.25,2.69,0.56,2026-05-15
1150514,2702,華園,,,0.63,2026-05-15
1150514,2704,國賓,23.58,1.18,0.59,2026-05-15
1150514,2705,六福,17.19,,0.59,2026-05-15
1150514,2706,第一店,18.13,2.88,0.6,2026-05-15
1150514,2707,晶華,12.32,6.23,6.21,2026-05-15
1150514,2712,遠雄來,,,1.66,2026-05-15
1150514,2722,夏都,,0.64,1.39,2026-05-15
1150514,2723,美食-KY,,4.61,1.12,2026-05-15
1150514,2727,王品,14.24,6.8,5.12,2026-05-15
1150514,2731,雄獅,9.42,7.95,2.81,2026-05-15
1150514,2739,寒舍,11.45,7.44,2.12,2026-05-15
1150514,2748,雲品,19.23,4.38,1.44,2026-05-15
1150514,2753,八方雲集,13.18,6.76,3.33,2026-05-15
1150514,2762,世界健身-KY,15.83,7.09,3.44,2026-05-15
1150514,2801,彰銀,12.75,4.9,1.06,2026-05-15
1150514,2812,台中銀,12.26,5.58,1.22,2026-05-15
1150514,2816,旺旺保,6.71,4.8,0.87,2026-05-15
1150514,2820,華票,11.02,5.37,0.81,2026-05-15
1150514,2832,台產,11.0,6.49,1.15,2026-05-15
1150514,2834,臺企銀,12.21,6.25,1.04,2026-05-15
1150514,2836,高雄銀,15.95,3.81,0.82,2026-05-15
1150514,2838,聯邦銀,15.04,5.26,1.07,2026-05-15
1150514,2845,遠東銀,14.01,5.23,0.84,2026-05-15
1150514,2849,安泰銀,16.65,2.89,0.71,2026-05-15
1150514,2850,新產,9.42,5.51,1.91,2026-05-15
