stock_id,stock_name,industry,sub_sector,source,confidence
4571,鈞興-KY,電機機械,未分類,default,low
4572,駐龍,電機機械,未分類,default,low
4576,大銀微系統,電機機械,未分類,default,low
4581,光隆精密-KY,汽車工業,未分類,default,low
4582,聚恆-創,Unknown,未分類,default,low
4583,台灣精銳,電機機械,未分類,default,low
4590,富田-創,電機機械,未分類,default,low
4807,日成-KY,貿易百貨,未分類,default,low
4930,燦星網,電器電纜,未分類,default,low
4994,傳奇,資訊服務業,未分類,default,low
5203,訊連,資訊服務業,未分類,default,low
5283,禾聯碩,電器電纜,未分類,default,low
5284,jpp-KY,其他,未分類,default,low
5288,豐祥-KY,電機機械,未分類,default,low
5292,華懋,Unknown,未分類,default,low
5306,桂盟,Unknown,未分類,default,low
5434,崇越,電子通路業,未分類,default,low
5871,中租-KY,其他,未分類,default,low
5906,台南-KY,貿易百貨,未分類,default,low
5907,大洋-KY,貿易百貨,未分類,default,low
6112,邁達特,資訊服務業,未分類,default,low
6165,浪凡,Unknown,未分類,default,low
6183,關貿,資訊服務業,未分類,default,low
6184,大豐電,其他,未分類,default,low
6189,豐藝,電子通路業,未分類,default,low
6214,精誠,資訊服務業,未分類,default,low
6281,全國電,電子通路業,未分類,default,low
6464,台數科,其他,未分類,default,low
6504,南六,其他,未分類,default,low
6581,鋼聯,Unknown,未分類,default,low
6582,申豐,橡膠工業,未分類,default,low
6585,鼎基,其他,未分類,default,low
6592,和潤企業,其他,未分類,default,low
6605,帝寶,汽車工業,未分類,default,low
6606,建德工業,電機機械,未分類,default,low
6614,資拓宏宇,Unknown,未分類,default,low
6625,必應,其他,未分類,default,low
6641,基士德-KY,Unknown,未分類,default,low
6655,科定,其他,未分類,default,low
6670,復盛應用,Unknown,未分類,default,low
6671,三能-KY,Unknown,未分類,default,low
6689,伊雲谷,Unknown,未分類,default,low
6754,匯僑設計,Unknown,未分類,default,low
6768,志強-KY,Unknown,未分類,default,low
6771,平和環保-創,Unknown,未分類,default,low
6776,展碁國際,電子通路業,未分類,default,low
6806,森崴能源,Unknown,未分類,default,low
6807,峰源-KY,Unknown,未分類,default,low
6873,泓德能源,Unknown,未分類,default,low
6887,寶綠特-KY,Unknown,未分類,default,low
6890,來億-KY,Unknown,未分類,default,low
6901,鑽石投資,其他,未分類,default,low
6902,GOGOLOOK,Unknown,未分類,default,low
6906,現觀科,Unknown,未分類,default,low
6914,阜爾運通,其他,未分類,default,low
6923,中台,Unknown,未分類,default,low
