出表日期,交易日期,權證代號,權證名稱,成交金額,成交張數,date
1150514,1150514,083195,創意統一56購02,0.00,0,2026-05-15
1150514,1150514,083192,晶豪科統一5C購01,6350.00,1000,2026-05-15
1150514,1150514,083353,富世達統一56購02,0.00,0,2026-05-15
1150514,1150514,083176,國巨統一56購01,0.00,0,2026-05-15
1150514,1150514,083177,國巨統一56購02,0.00,0,2026-05-15
1150514,1150514,083331,金像電統一56購02,0.00,0,2026-05-15
1150514,1150514,083198,定穎控統一56購01,0.00,0,2026-05-15
1150514,1150514,083193,德律統一56購02,0.00,0,2026-05-15
1150514,1150514,083196,嘉澤統一56購01,0.00,0,2026-05-15
1150514,1150514,083191,聯發科統一56購03,0.00,0,2026-05-15
1150514,1150514,083337,聯發科統一56購04,0.00,0,2026-05-15
1150514,1150514,083346,緯創統一56購01,0.00,0,2026-05-15
1150514,1150514,083194,智原統一56購04,28600.00,110000,2026-05-15
1150514,1150514,083178,華泰統一5C購01,171740.00,228000,2026-05-15
1150514,1150514,083175,華通統一56購01,0.00,0,2026-05-15
1150514,1150514,083347,新日興統一56購01,0.00,0,2026-05-15
1150514,1150514,083180,順德統一56購01,45800.00,10000,2026-05-15
1150514,1150514,040622,陽明統一5A購01,0.00,0,2026-05-15
1150514,1150514,040620,新興統一5A購01,11600.00,20000,2026-05-15
1150514,1150514,040611,楠梓電統一58購01,199920.00,195000,2026-05-15
1150514,1150514,040621,裕民統一5A購01,0.00,0,2026-05-15
1150514,1150514,040610,華通統一6A購01,15820.00,8000,2026-05-15
1150514,1150514,040616,華新科統一5A購01,18950.00,6000,2026-05-15
1150514,1150514,040617,華新科統一6A購02,654390.00,347000,2026-05-15
1150514,1150514,040607,華新統一58購06,1328790.00,1727000,2026-05-15
1150514,1150514,040612,華泰統一5A購02,0.00,0,2026-05-15
1150514,1150514,040614,聯發科統一5A購04,0.00,0,2026-05-15
1150514,1150514,040619,長榮統一6A購01,18150.00,26000,2026-05-15
1150514,1150514,040618,長榮統一5C購02,110920.00,236000,2026-05-15
1150514,1150514,040606,東元統一5A購02,1100.00,10000,2026-05-15
1150514,1150514,040605,南亞統一58購03,0.00,0,2026-05-15
1150514,1150514,040652,南電統一58購02,0.00,0,2026-05-15
1150514,1150514,040653,南電統一6A購02,96870.00,21000,2026-05-15
1150514,1150514,040637,康舒統一6A購02,390980.00,528000,2026-05-15
1150514,1150514,040629,創意統一5A購03,0.00,0,2026-05-15
1150514,1150514,040630,創意統一6A購01,1927170.00,565000,2026-05-15
1150514,1150514,040628,京鼎統一6A購01,128110.00,228000,2026-05-15
1150514,1150514,040632,亞翔統一6A購01,563580.00,465000,2026-05-15
1150514,1150514,040624,慧洋統一5A購01,46500.00,100000,2026-05-15
1150514,1150514,040639,緯穎統一6A購02,359360.00,170000,2026-05-15
1150514,1150514,040641,龍德船統一6A購01,0.00,0,2026-05-15
1150514,1150514,040640,龍德船統一61購01,22950.00,51000,2026-05-15
1150514,1150514,040635,華孚統一59購02,0.00,0,2026-05-15
1150514,1150514,040636,華孚統一5A購01,0.00,0,2026-05-15
1150514,1150514,040634,華孚統一58購01,0.00,0,2026-05-15
1150514,1150514,040625,景碩統一57購06,0.00,0,2026-05-15
1150514,1150514,040626,景碩統一5A購01,61850.00,7000,2026-05-15
1150514,1150514,040627,景碩統一6A購01,13820.00,3000,2026-05-15
1150514,1150514,040638,鈺邦統一58購04,2960.00,6000,2026-05-15
1150514,1150514,040623,陽明統一6A購01,3860.00,12000,2026-05-15
1150514,1150514,040792,龍德船統一5C購01,30720.00,96000,2026-05-15
1150514,1150514,040791,康舒統一5A購02,10610.00,12000,2026-05-15
1150514,1150514,040979,強茂統一6A購01,630840.00,849000,2026-05-15
1150514,1150514,040978,創見統一5C購02,169750.00,81000,2026-05-15
1150514,1150514,040982,南電統一64購01,1972160.00,541000,2026-05-15
1150514,1150514,040973,致茂統一6A購01,11840.00,4000,2026-05-15
1150514,1150514,040974,佳能統一5C購01,0.00,0,2026-05-15
1150514,1150514,040977,東元統一56購01,0.00,0,2026-05-15
1150514,1150514,040975,毅嘉統一6A購01,11740.00,14000,2026-05-15
